reporterCode
ABW
AFG
AGO
AIA
ALB
AND
ANT
ARE
ARG
ARM
ATG
AUS
AUT
AZE
BDI
BEL
BEN
BFA
BGD
BGR
BHR
BHS
BIH
BLR
BLX
BLZ
BMU
BOL
BRA
BRB
BRN
BTN
BWA
CAF
CAN
CHE
CHL
CHN
CIV
CMR
COG
COK
COL
COM
CPV
CRI
CUB
CYM
CYP
CZE
DEU
DJI
DMA
DNK
DOM
DZA
EAS
ECS
ECU
EGY
ERI
ESP
EST
ETH
EUN
FIN
FJI
FRA
FRO
FSM
GAB
GBR
GEO
GHA
GIN
GLP
GMB
GNB
GRC
GRD
GRL
GTM
GUF
GUY
HKG
HND
HRV
HUN
IDN
IND
IRL
IRN
IRQ
ISL
ISR
ITA
JAM
JOR
JPN
KAZ
KEN
KGZ
KHM
KIR
KNA
KOR
KWT
LBN
LBY
LCA
LCN
LKA
LSO
LTU
LUX
LVA
MAC
MAR
MDA
MDG
MDV
MEA
MEX
MKD
MLI
MLT
MMR
MNG
MNT
MOZ
MRT
MSR
MTQ
MUS
MWI
MYS
MYT
NAC
NAM
NCL
NER
NGA
NIC
NLD
NOR
NPL
NZL
OAS
OMN
PAK
PAN
PER
PHL
PLW
PNG
POL
PRT
PRY
PSE
PYF
QAT
REU
ROM
RUS
RWA
SAS
SAU
SDN
SEN
SER
SGP
SLB
SLE
SLV
SSF
STP
SUD
SUR
SVK
SVN
SWE
SWZ
SYC
SYR
TCA
TCD
TGO
THA
TJK
TKM
TMP
TON
TTO
TUN
TUR
TUV
TZA
UGA
UKR
URY
USA
VCT
VEN
VNM
VUT
Wld
WSM
YEM
ZAF
ZMB
ZWE
